Date,GS
2010-11-03,162.630005
2010-11-04,166.389999
2010-11-05,171.070007
2010-11-06,170.44667033333334
2010-11-07,169.82333366666666
2010-11-08,169.199997
2010-11-09,166.550003
2010-11-10,167.220001
2010-11-11,167.71000700000002
2010-11-12,165.830002
2010-11-13,166.293335
2010-11-14,166.756668
2010-11-15,167.220001
2010-11-16,165.100006
2010-11-17,164.889999
2010-11-18,167.350006
2010-11-19,166.669998
2010-11-20,164.79666633333332
2010-11-21,162.92333466666668
2010-11-22,161.050003
2010-11-23,157.779999
2010-11-24,160.259995
2010-11-25,159.239998
2010-11-26,158.220001
2010-11-27,158.57333366666666
2010-11-28,158.92666633333334
2010-11-29,159.279999
2010-11-30,156.139999
2010-12-01,158.449997
2010-12-02,162.5
2010-12-03,162.309998
2010-12-04,162.42333
2010-12-05,162.536662
2010-12-06,162.649994
2010-12-07,161.58999599999999
2010-12-08,166.139999
2010-12-09,166.449997
2010-12-10,168.470001
2010-12-11,168.806666
2010-12-12,169.143331
2010-12-13,169.479996
2010-12-14,167.330002
2010-12-15,165.21000700000002
2010-12-16,164.46000700000002
2010-12-17,164.03999299999998
2010-12-18,164.70999633333332
2010-12-19,165.37999966666666
2010-12-20,166.050003
2010-12-21,168.229996
2010-12-22,169.600006
2010-12-23,167.600006
2010-12-24,168.15750500000001
2010-12-25,168.71500400000002
2010-12-26,169.272503
2010-12-27,169.830002
2010-12-28,169.190002
2010-12-29,167.630005
2010-12-30,167.639999
2010-12-31,168.16000400000001
2011-01-01,169.79000366666668
2011-01-02,171.42000333333334
2011-01-03,173.050003
2011-01-04,173.080002
2011-01-05,174.0
2011-01-06,172.21000700000002
2011-01-07,170.690002
2011-01-08,170.37999966666666
2011-01-09,170.06999733333333
2011-01-10,169.759995
2011-01-11,169.360001
2011-01-12,171.669998
2011-01-13,171.570007
2011-01-14,175.0
2011-01-15,174.91999825
2011-01-16,174.83999649999998
2011-01-17,174.75999475
2011-01-18,174.679993
2011-01-19,166.490005
2011-01-20,165.690002
2011-01-21,166.199997
2011-01-22,166.23333233333332
2011-01-23,166.26666766666668
2011-01-24,166.300003
2011-01-25,161.979996
2011-01-26,161.309998
2011-01-27,164.029999
2011-01-28,161.770004
2011-01-29,162.38666766666665
2011-01-30,163.00333133333334
2011-01-31,163.619995
2011-02-01,165.330002
2011-02-02,165.050003
2011-02-03,164.639999
2011-02-04,164.830002
2011-02-05,165.59666966666668
2011-02-06,166.36333733333333
2011-02-07,167.130005
2011-02-08,168.550003
2011-02-09,166.009995
2011-02-10,165.33999599999999
2011-02-11,166.66000400000001
2011-02-12,166.94667066666668
2011-02-13,167.23333733333334
2011-02-14,167.520004
2011-02-15,167.91000400000001
2011-02-16,168.809998
2011-02-17,167.16000400000001
2011-02-18,168.03999299999998
2011-02-19,166.76499524999997
2011-02-20,165.4899975
2011-02-21,164.21499975
2011-02-22,162.940002
2011-02-23,163.08999599999999
2011-02-24,163.440002
2011-02-25,165.119995
2011-02-26,164.67332966666666
2011-02-27,164.22666433333333
2011-02-28,163.779999
2011-03-01,161.309998
2011-03-02,161.690002
2011-03-03,164.490005
2011-03-04,161.0
2011-03-05,160.38333133333333
2011-03-06,159.76666266666666
2011-03-07,159.149994
2011-03-08,161.300003
2011-03-09,162.350006
2011-03-10,160.270004
2011-03-11,160.679993
2011-03-12,159.929993
2011-03-13,159.179993
2011-03-14,158.429993
2011-03-15,157.25
2011-03-16,154.380005
2011-03-17,155.75
2011-03-18,159.96000700000002
2011-03-19,160.04334033333336
2011-03-20,160.12667366666668
2011-03-21,160.21000700000002
2011-03-22,160.78999299999998
2011-03-23,159.529999
2011-03-24,159.91000400000001
2011-03-25,157.970001
2011-03-26,157.470001
2011-03-27,156.970001
2011-03-28,156.470001
2011-03-29,158.470001
2011-03-30,159.070007
2011-03-31,158.600006
2011-04-01,160.229996
2011-04-02,159.786662
2011-04-03,159.34332799999999
2011-04-04,158.899994
2011-04-05,158.91000400000001
2011-04-06,161.889999
2011-04-07,162.399994
2011-04-08,160.96000700000002
2011-04-09,161.130005
2011-04-10,161.300003
2011-04-11,161.470001
2011-04-12,160.419998
2011-04-13,160.169998
2011-04-14,155.78999299999998
2011-04-15,155.130005
2011-04-16,154.680003
2011-04-17,154.23000100000002
2011-04-18,153.779999
2011-04-19,151.860001
2011-04-20,152.699997
2011-04-21,153.509995
2011-04-22,153.17999675
2011-04-23,152.8499985
2011-04-24,152.52000025
2011-04-25,152.190002
2011-04-26,153.270004
2011-04-27,152.860001
2011-04-28,150.600006
2011-04-29,151.009995
2011-04-30,151.10666433333333
2011-05-01,151.20333366666668
2011-05-02,151.300003
2011-05-03,151.869995
