Date,BZ=F_oil,CL=F_oil,GLD,SI=F,AAPL,BAC,C,CS,DB,GSBD(march-19-2015),HRI,JPM,LYG,MAN,MS,MUFG,UBS
2018-07-20,73.07,70.459999,116.559998,15.49,47.860001000000004,30.129998999999998,69.220001,15.25,12.03,21.66,59.75,111.279999,3.3,86.550003,50.27,5.93,15.38
2018-07-21,73.066666,69.60333233333333,116.37333199999999,15.449333333333334,47.87416733333334,30.336665999999997,69.55000033333333,15.31,12.08,21.593333,59.563333,111.96999866666667,3.293333333333333,88.01666766666666,50.426667333333334,6.026666666666666,15.426666666666668
2018-07-22,73.06333199999999,68.74666566666667,116.186666,15.408666666666667,47.88833366666667,30.543333,69.87999966666666,15.37,12.129999999999999,21.526666,59.376666,112.65999833333333,3.2866666666666666,89.48333233333334,50.58333466666667,6.123333333333333,15.473333333333333
2018-07-23,73.059998,67.889999,116.0,15.368,47.9025,30.75,70.209999,15.43,12.18,21.459999,59.189999,113.349998,3.28,90.949997,50.740002000000004,6.22,15.52
2018-07-24,73.440002,68.519997,116.040001,15.463,48.25,30.83,71.07,15.68,12.28,21.41,58.599998,114.150002,3.34,90.290001,50.98,6.21,16.049999
2018-07-25,73.93,69.300003,116.68,15.533,48.705002,31.07,71.720001,15.69,12.18,21.42,58.810001,115.18,3.33,92.900002,51.040001000000004,6.2,16.059998999999998
2018-07-26,74.540001,69.610001,115.769997,15.438,48.552502000000004,30.940001000000002,71.339996,15.58,12.2,21.23,59.16,114.849998,3.3,93.209999,50.990002000000004,6.17,16.07
2018-07-27,74.290001,68.690002,115.83000200000001,15.436,47.744999,31.059998999999998,71.690002,15.69,12.42,21.07,56.799999,116.029999,3.31,93.040001,51.049999,6.22,16.139999
2018-07-28,74.51666766666666,69.17000033333333,115.770002,15.449,47.655833,31.14333233333333,71.89000166666668,15.74,12.543333333333333,21.116666333333335,56.493333,116.26333366666667,3.31,92.96333333333334,51.0,6.253333333333333,16.196665666666664
2018-07-29,74.74333433333334,69.64999866666668,115.710002,15.462,47.566667,31.226665666666666,72.09000133333333,15.79,12.666666666666666,21.163332666666665,56.186667,116.49666833333333,3.31,92.88666566666666,50.950001,6.286666666666667,16.253332333333333
2018-07-30,74.970001,70.129997,115.650002,15.475,47.477501000000004,31.309998999999998,72.290001,15.84,12.79,21.209999,55.880001,116.730003,3.31,92.809998,50.900002,6.32,16.309998999999998
2018-07-31,74.25,68.760002,115.989998,15.5,47.572497999999996,30.879998999999998,71.889999,16.059998999999998,13.06,21.26,56.82,114.949997,3.32,93.260002,50.560001,6.12,16.42
2018-08-01,74.25,67.660004,115.139999,15.394,50.375,31.25,71.93,16.02,12.95,21.09,54.470001,115.660004,3.36,92.83000200000001,50.18,6.28,16.379998999999998
2018-08-02,73.449997,68.959999,114.519997,15.329,51.8475,31.280001000000002,71.839996,15.9,12.54,21.32,55.259997999999996,116.150002,3.31,91.849998,49.810001,6.33,16.129998999999998
2018-08-03,73.209999,68.489998,114.91999799999999,15.406,51.997501,31.51,72.389999,15.79,12.5,21.93,55.639998999999996,117.089996,3.29,92.129997,49.91,6.22,16.17
2018-08-04,73.38999933333334,68.66333266666666,114.72333266666666,15.368,52.087501333333336,31.513333333333335,72.39333333333333,15.726666666666667,12.506666666666666,21.923333333333332,55.82666633333333,117.09999833333333,3.28,92.53999833333333,49.93666733333333,6.18,16.09
2018-08-05,73.56999966666666,68.83666733333334,114.52666733333334,15.33,52.177501666666664,31.516666666666666,72.39666766666667,15.663333333333332,12.513333333333334,21.916666666666668,56.01333366666667,117.11000066666666,3.27,92.94999966666667,49.96333466666667,6.14,16.01
2018-08-06,73.75,69.010002,114.33000200000001,15.292,52.267502,31.52,72.400002,15.6,12.52,21.91,56.200001,117.120003,3.26,93.360001,49.990002000000004,6.1,15.93
2018-08-07,74.650002,69.16999799999999,114.589996,15.317,51.7775,31.51,72.410004,15.77,12.62,22.219998999999998,56.389998999999996,117.550003,3.26,91.760002,50.130001,6.06,15.98
2018-08-08,72.279999,66.940002,114.910004,15.376,51.8125,31.799999,72.889999,15.79,12.52,22.110001,51.349998,117.790001,3.24,92.150002,50.119999,6.11,16.120001000000002
2018-08-09,72.07,66.809998,114.739998,15.419,52.220001,31.6,71.980003,15.67,12.4,22.26,52.029999,116.879997,3.24,90.629997,49.439999,6.06,16.02
