Date,Real,ARIMAPredicted
2010-05-18,137.360001,142.66996041898074
2010-05-19,140.100006,137.2224986363428
2010-05-20,136.100006,140.23942289596997
2010-05-21,140.619995,136.00415999276123
2010-05-22,139.3099973333333,140.81828344082663
2010-05-23,137.99999966666667,139.30022877911676
2010-05-24,136.690002,137.99899363251828
2010-05-25,142.559998,136.6903343892949
2010-05-26,140.300003,142.79879223825918
2010-05-27,144.949997,140.25508048639915
2010-05-28,144.259995,145.14557757774338
2010-05-29,143.6599965,144.2653572429299
2010-05-30,143.059998,143.67570423160745
2010-05-31,142.4599995,143.07610193188938
2010-06-01,141.860001,142.47684030481952
2010-06-02,144.830002,141.87756701280958
2010-06-03,144.03999299999995,144.96606851363796
2010-06-04,142.25,144.04424389234478
2010-06-05,141.05999766666667,142.22676282762365
